id,name,image,product,category,efficiency,lumen_output,CRI,temp,Macadam,act_power,power_fact,brand,beam_angle,system,reflector,color,pdf
18,Torres Mini,torres_mini.jpg,Torres Mini LED,LED Downlights,,2300 lm,80,3000K - 4000K,3,,,,,22 W,20&deg; - 30&deg,Grey | Black | White,
19,Torres Mini Fixed,torres_mini_fixed.jpg,Torres Mini Fixed LED,LED Downlights,,1810 lm,80,3000K - 4000K,3,,,,,19 W,24&deg;,Grey | Black | White,
20,Trimo Micro,trimo_micro.jpg,Trimo Micro LED,LED Downlights,,1581 lm,80,3000K,3,,,,,13W,30&deg;,Grey | Black | White,
21,Trimo Mini,trimo_mini.jpg,Trimo Mini LED,LED Downlights,,2625 lm,80,3000K,3,,,,,22 W,24&deg;,Grey | Black | White,
22,Trimo,trimo.jpg,Trimo LED,LED Downlights,,3817 lm ,80,3000K,3,,,,,29 W,20&deg; - 30&deg; - 60&deg;,Grey | Black | White,
23,Zebra Mini,zebra_mini.jpg,"Zebra Mini LED
Arctic White LED
Fresh Food LED
Meat LED",LED Downlights,,2100 - 4100 lm,>80 - >90,3000K - 4000K,3,,,,,25 W,20&deg; - 30&deg; - 60&deg;,Grey | Black | White,
24,Zebra,zebra.jpg,"Zebra Mini LED
Arctic White LED
Fresh Food LED
Meat LED",LED Downlights,,2350 - 4650 lm,>80 - >91,3000K - 4000K,3,,,,,31 W,20&deg; - 30&deg; - 60&deg;,Grey | Black | White,
25,Cylinder,cylinder.jpg,Cylinder LED,LED Spotlights,,2350 - 3200 lm,>90 ,3000K,3,,,,,20 W - 28 W,15&deg; - 28&deg; - 34&deg;,Black | White,Cylinder_LED_Spotlight .pdf
26,Lale,lale_mini_food.jpg,"Lale LED
Arctic White LED
Fresh Food LED
Meat LED",LED Spotlights,,2351 - 4650 lm,>80 - >92,3000K - 4000K,3,,,,,31 W,20&deg; - 30&deg; - 60&deg;,Grey | Black | White,
27,Mato,mato.jpg,Mato LED,LED Spotlights,,2800 lm,>80,3000K - 4000K,3,,,,,28 W,14&deg; 24&deg;,Black | White,
28,Ray Mini,ray_mini.jpg,"Ray Mini LED
Arctic White",LED Spotlights,,2155 lm - 3200 lm,>80 - >90,3000K - 4000K,3,,,,,23 W,20&deg; - 40&deg;,Black | White,
29,Suri,suri.jpg,Suri LED,LED Spotlights,,4000 lm ,>80,3000K - 4000K,3,,,,,36 W,18&deg; - 30&deg,Grey | Black | White,
30,Tube,tube.jpg,"Tube LED
Arctic White LED",LED Spotlights,,2360 lm - 2772 lm ,>80 - >90,3000K - 4000K,3,,,,,26 W,20&deg; - 30&deg,Grey | Black | White,
31,Bladeline,bladeline.jpg,Bladeline LED,LED Suspended ,,5300 lm - 10600 lm,80,3000K,3,,,,,39W - 77W,Medium,Steel,Bladeline.pdf
32,Linea Extrude,linea_extrude.jpg,Linea Extrude LED,LED Suspended ,,5180 lm,>80,3000K,3,,,,,50W,Opal,Grey | Black | White,Linea_Extrude.pdf
33,Panel,panel.jpg,Panel LED,LED Suspended ,,3500 lm - 4400lm,80,3000K - 4000K,3,,,,,36W,"Opal, Prismatic ",White,Panel.pdf
34,Ambi,ambi.jpg,Ambi LED,LED Suspended ,,5550 lm ,80,3000K - 4000K,3,,,,,60 W,Opal,Grey | White,
35,Channel,channel.jpg,Channel LED,LED Suspended ,,9158 lm,80,3000K - 4000K,3,,,,,87 W,Opal,Grey | White,
36,Hi Bay 30W,high_bay_30W.jpg,Hi Bay 30W LED,LED Suspended ,,3000 lm,80,3000K,3,,,,,30 W,45&deg;,Black & Alu,
37,Hi Bay 50W,high_bay_50W.jpg,Hi Bay 50W LED,LED Suspended ,,5000 lm,80,3000K,3,,,,,50 W,30&deg;,Grey,
38,Hi Bay 120W,high_bay_120W.jpg,Hi Bay 120W LED,LED Suspended ,,11200 lm,75,4000K,3,,,,,120 W,65&deg;,Grey,
39,Titan,titan.jpg,Titan LED,LED Suspended ,,3300 lm - 4800 lm ,80,4000K,3,,,,,35 W - 45 W,29&deg;,Grey,
40,Eris,eris.jpg,Eris LED,LED Wall Mounted ,,3800 lm,80,3000K,3,,,,,35 W,30&deg;,Grey | Black | White,
41,ETA,eta.jpg,ETA LED,LED Wall Mounted ,,1120 lm ,80,3000K,3,,,,,18W,,White| Grey & Black,
42,Lucerna,lucerna.jpg,Lucerna LED,LED Wall Mounted ,,2800 lm - 5600 lm,>80,4000K,3,,,,,25 W - 50 W,45&deg;,Anthracite,
43,Aria,aria.jpg,Aria LED,LED Outdoor,,4500 lm - 13500 lm ,70,4000K ,3,,,,,44 W - 132 W,Asymetrical ,Grey,
44,Sign,sign.jpg,Sign LED,LED Outdoor,,2350 lm - 3990 lm,70 - 80,3000K - 4000K,3,,,,,30 W,Asymetrical ,Grey,
45,Via,via.jpg,Via LED,LED Outdoor,,4500 lm - 13500 lm ,70,4000K ,3,,,,,44 W - 132 W,Asymetrical ,Black,
